region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type
Latin America & Caribbean,LAC,Argentina,ARG,1994,urban,EPH,urban,1994,income,1,1991 - 2002,2.15,0.019113265993225735,0.013903355264059416,0.012540566689980624,0.003198482031513849,22.77439812512207,15.622387410666096,0.3802998646724758,0.4591680359255017,0.4271963241218014,0.014955251571659233,0.02881997469783303,0.03955296132758716,0.05068355187094435,0.06316428110555192,0.0771603039490048,0.09501641245178682,0.12103398350563621,0.1651473099034162,0.34446596961658715,0.04381074013163832,10.8079395294189,30260588,10423.378879166181,6440.93738506535,FALSE,micro,survey
Latin America & Caribbean,LAC,Argentina,ARG,1995,urban,EPH,urban,1995,income,1,1991 - 2002,2.15,0.03855434388905231,0.02199730466831807,0.01794702883728321,0.009316805156287616,21.63388689711729,14.441226038607438,0.4406590050235759,0.48904403250272654,0.4476412303927697,0.011322135049356044,0.026299714017697776,0.036858705221423566,0.04734492303322306,0.0591179482001299,0.07357174107975767,0.09074839891159475,0.11684687831918411,0.1681335218878125,0.3697560342797953,0.04476105808825843,10.8079395294189,30705906,10003.091689298246,6083.728960497891,FALSE,micro,survey
Latin America & Caribbean,LAC,Argentina,ARG,1996,urban,EPH,urban,1996,income,1,1991 - 2002,2.15,0.04217567183876308,0.027400525339410408,0.023677330427694127,0.01420687627648019,21.192957128336744,13.854637260783692,0.4600137246038192,0.4952442938019691,0.47110663069786224,0.010343969188456474,0.024806008009921734,0.0355579591979942,0.04641743621896123,0.058343404668571644,0.07302717110769397,0.09193115386680592,0.11987579413817073,0.17089103820805435,0.36880606539537153,0.04485267270761038,10.8079395294189,31145813,10430.682492713648,6344.256450151182,FALSE,micro,survey
Latin America & Caribbean,LAC,Argentina,ARG,1997,urban,EPH,urban,1997,income,1,1991 - 2002,2.15,0.037657508072568686,0.02199877177085137,0.018272514765511734,0.010271798124057294,22.20674194777844,14.835679516083108,0.44955361727456494,0.4911047521919295,0.4738088960947475,0.010825282439847959,0.024650745948588192,0.03519188218335624,0.04684615669114163,0.05938353401703449,0.07307984569036724,0.09274348639462487,0.1207551113217265,0.1727812618840081,0.36374269342931764,0.04510874175713384,10.8079395294189,31579653,11146.721033655485,6834.050397076817,FALSE,micro,survey
Latin America & Caribbean,LAC,Argentina,ARG,1998,urban,EPH,urban,1998,income,1,1991 - 2002,2.15,0.03969188794173526,0.02083689672293067,0.015865341613662817,0.012583368440860004,21.5637937551473,13.572866920092132,0.4774046445882275,0.507336437789718,0.4950620751152038,0.01065069727759588,0.02342939045162727,0.033649802425992026,0.04435071409192205,0.05635560353583449,0.07064937658435547,0.09054733857938002,0.119587015468965,0.17026666576494376,0.3805133958193847,0.04560771331663487,10.8079395294189,32009558,11445.564938468155,6991.925485320825,FALSE,micro,survey
Latin America & Caribbean,LAC,Argentina,ARG,1999,urban,EPH,urban,1999,income,1,1991 - 2002,2.15,0.04187958436971518,0.023673230589496306,0.01892955772419133,0.014529685959560501,20.554685419916197,13.479604343421009,0.4618117851188393,0.49792041372081397,0.4854711413349837,0.010706887732650841,0.024184391369780192,0.034641031173753,0.04522047350665988,0.057955893824542096,0.07291160930118534,0.09186770390030913,0.12091119777235809,0.17111811547846129,0.37048269594029426,0.04468209430555706,10.8079395294189,32438320,10935.644594805466,6776.346983729585,FALSE,micro,survey
Latin America & Caribbean,LAC,Argentina,ARG,2000,urban,EPH,urban,2000,income,1,1991 - 2002,2.15,0.04988261360311833,0.027054740197440617,0.02065473075873066,0.020914589893160508,20.104942673740535,12.820308261508508,0.49279689811527955,0.5106395767594252,0.5094704935059055,0.00948523446115961,0.022374358453186912,0.032494072588708386,0.043272403706378554,0.05598690437609996,0.07175251978344685,0.09107315956802603,0.12206230343319607,0.17449417847202275,0.3770048651577811,0.04436991678102379,10.8079395294189,32867365,10730.60821729683,6657.963802486849,FALSE,micro,survey
Latin America & Caribbean,LAC,Argentina,ARG,2001,urban,EPH,urban,2001,income,1,1991 - 2002,2.15,0.08234786824942257,0.04531901971025275,0.03505712064365414,0.03311965682890628,18.51360410736107,11.441447860801611,0.5509105013980625,0.5334310600620975,0.5392328299303026,0.006526393364028398,0.019296534611548982,0.030172199140104362,0.040743419236724,0.053451546048520523,0.06916139404001873,0.08998984299762758,0.12064378590230562,0.1752410258225952,0.3947738588365032,0.04386806050845211,10.8079395294189,33297960,10146.106818485889,6207.546820244806,FALSE,micro,survey
Latin America & Caribbean,LAC,Argentina,ARG,2002,urban,EPH,urban,2002,income,1,1991 - 2002,2.15,0.12447154538825381,0.04867050893291299,0.028951005195434417,0.053883129826749684,13.004920748939508,7.848625418884066,0.5422985801297211,0.537937583377964,0.535259836029928,0.008732522111894158,0.01885277443879564,0.0289940718440439,0.04044314576318995,0.05326239189352738,0.06846560122052489,0.08686489778295087,0.11659449203884492,0.17272820077897594,0.4050619021272617,0.0607518380940446,10.8079395294189,33728928,8943.308002238458,5259.207138882885,FALSE,micro,survey
Latin America & Caribbean,LAC,Argentina,ARG,2003,urban,EPHC-S2,urban,2003,income,2,2003 - 2020,2.15,0.05279262617509413,0.019444567754565132,0.01128709915239774,0.023549263474030645,18.40442953639838,11.59164893501409,0.48643363762922814,0.5089715698379784,0.5123713550694113,0.010723922989278307,0.022316373410360996,0.032260089024476926,0.043742162819405656,0.055823531310793345,0.07133440570598887,0.09248028878333145,0.12248899357509774,0.1719769929075119,0.3768532394737455,0.06314130233546371,10.8079395294189,34159484,9629.844086005607,5628.171349652291,FALSE,micro,survey
Latin America & Caribbean,LAC,Argentina,ARG,2004,urban,EPHC-S2,urban,2004,income,2,2003 - 2020,2.15,0.038130063030752975,0.012640329167065548,0.007069391223786848,0.01433801372724896,19.8381538365751,13.447348042848029,0.4351938299991334,0.4837703458741336,0.4760193697728175,0.012060066333572456,0.023985109765879545,0.0347926113010185,0.04652523469846219,0.060136053532222886,0.07574782579699418,0.09567388247768566,0.12542631859333336,0.17329296152784812,0.3523599359729962,0.06665319607728874,10.8079395294189,34588884,10389.151274064125,6098.126323116635,FALSE,micro,survey
Latin America & Caribbean,LAC,Argentina,ARG,2005,urban,EPHC-S2,urban,2005,income,2,2003 - 2020,2.15,0.026311788198387597,0.008959691035174659,0.005115731137856861,0.009058032555153944,21.820698311055175,14.93226300685279,0.42045703798600137,0.4770735509214673,0.46294443057871804,0.012617394423738451,0.025068457409934068,0.03583408745527906,0.047759045074481324,0.06098602105905959,0.07647673462690927,0.09647541923933672,0.12447645119439471,0.1713634610028436,0.3489429285140151,0.07383049971782456,10.8079395294189,35015688,11192.179578612779,6481.42096623284,FALSE,micro,survey
Latin America & Caribbean,LAC,Argentina,ARG,2006,urban,EPHC-S2,urban,2006,income,2,2003 - 2020,2.15,0.02118256007752174,0.00796947306388634,0.0045772823131438435,0.00933007455873041,24.166915526693074,17.068175884369047,0.40080613470274185,0.46346079967163534,0.44617655057751965,0.012962664775265658,0.02632526034950531,0.03760024815731496,0.04955206972397509,0.0630545625297444,0.07902273856543482,0.09937141430769869,0.1256351900627597,0.16912830488130487,0.33734754664700717,0.08147131819504673,10.8079395294189,35439468,11970.65538711175,7118.883338452623,FALSE,micro,survey
Latin America & Caribbean,LAC,Argentina,ARG,2007,urban,EPHC-S2,urban,2007,income,2,2003 - 2020,2.15,0.017236683275573622,0.0066374307860075305,0.004199943100446694,0.005960505758368214,24.92478479981154,17.631635817268993,0.39231911899556987,0.4617355631333476,0.44390863386538587,0.014022938137254696,0.026843158265261773,0.0372928551154192,0.049407738782719535,0.06306610772220911,0.07896879369574072,0.09916200567805356,0.125158090800697,0.1693556776457904,0.336722634156849,0.09974636657227584,10.8079395294189,35861117,12919.235364712353,7706.341553685237,FALSE,micro,survey
Latin America & Caribbean,LAC,Argentina,ARG,2008,urban,EPHC-S2,urban,2008,income,2,2003 - 2020,2.15,0.01586670205514223,0.006118238306436659,0.0037427034513176703,0.005901346603292793,25.513299640921854,18.42694314272367,0.37227722508988315,0.44876790267118216,0.43057112652810187,0.014130928793037841,0.02790220135552186,0.039563217195883564,0.051579018464756266,0.06473963092564308,0.08048678378117838,0.10004750908606885,0.12739410185762595,0.17008060649539225,0.3240760020448765,0.125182322461113,10.8079395294189,36284568,13310.623684309203,8183.012350197079,FALSE,micro,survey
Latin America & Caribbean,LAC,Argentina,ARG,2009,urban,EPHC-S2,urban,2009,income,2,2003 - 2020,2.15,0.015240720327453125,0.005343826642833263,0.0032068563874647986,0.004655842114464605,26.400297432398713,19.675026347127115,0.3530367598433817,0.4365419704989163,0.4148809373586954,0.014540727057402256,0.02868502468808048,0.04086348950830897,0.053273994609646755,0.06709596035696128,0.0827191504568904,0.10169120553632566,0.1281064626391783,0.17052895357620879,0.31249503157101,0.14266856780539022,10.8079395294189,36714243,12398.283580735651,7664.329463696175,FALSE,micro,survey
Latin America & Caribbean,LAC,Argentina,ARG,2010,urban,EPHC-S2,urban,2010,income,2,2003 - 2020,2.15,0.0074932941081667,0.0030185935783855027,0.0020268761026144434,0.0023746404045620166,27.206145522843613,20.234128972463182,0.34358808314047995,0.4358321825728346,0.4074566588648776,0.015945414966249523,0.02971151783215651,0.04095622711153518,0.053123824039213965,0.06659049299046987,0.08221177620779041,0.10052277163236595,0.12523426602470816,0.16870260129018222,0.317001107905312,0.17773576518190645,10.8079395294189,37055902,13551.339194022945,8457.967003690925,FALSE,micro,survey
Latin America & Caribbean,LAC,Argentina,ARG,2011,urban,EPHC-S2,urban,2011,income,2,2003 - 2020,2.15,0.007074195097729651,0.002913979421315613,0.001935304899101818,0.002390991745766582,28.93932174652086,21.541291297889206,0.32680068040508103,0.42645280639792227,0.40426712424172495,0.017143780863400473,0.03078294054937633,0.04207833127332271,0.05425096621600134,0.06733433184269197,0.0829779782008867,0.10112743562694487,0.1263169180211527,0.16841632394662565,0.3095709934596046,0.21625924418927464,10.8079395294189,37543830,14200.269889060848,9144.320494046011,FALSE,micro,survey
Latin America & Caribbean,LAC,Argentina,ARG,2012,urban,EPHC-S2,urban,2012,income,2,2003 - 2020,2.15,0.006407886015105235,0.002968511371916634,0.0020247478969783335,0.0030144180326104873,28.67457637475568,21.868210582372875,0.30928035981062824,0.41326197939246523,0.39407052119355906,0.017429353785305204,0.03238627496591602,0.04374741348425386,0.05574093525931391,0.06893323541678012,0.08496774223559167,0.10358637041268837,0.12817629965859317,0.16819994967667706,0.2968324251048693,0.2710616285588012,10.8079395294189,38027774,13895.63370729862,9141.326924671828,FALSE,micro,survey
Latin America & Caribbean,LAC,Argentina,ARG,2013,urban,EPHC-S2,urban,2013,income,2,2003 - 2020,2.15,0.006225353260676874,0.002834396131503396,0.0020456263646780777,0.001961246915232149,28.7907892949517,22.237562369794663,0.3027205681421216,0.40945442197590753,0.38812152331741245,0.017864288323526496,0.03241322218872739,0.04390035595035059,0.05619561087865499,0.06995541139306888,0.08579375889348032,0.10423913301783805,0.12845323206330211,0.1674661024143994,0.2937188848766573,0.34341633055730464,10.8079395294189,38509756,14071.508683155722,9368.547770090601,FALSE,micro,survey
Latin America & Caribbean,LAC,Argentina,ARG,2014,urban,EPHC-S2,urban,2014,income,2,2003 - 2020,2.15,0.0061246745755009924,0.002730939763359068,0.0019534412635574066,0.0019333968774085642,26.947942230014586,20.30464207724593,0.30902748959018955,0.4163278985481589,0.400941835319803,0.018312515704048772,0.03220707066147375,0.04313324366040218,0.05444079452464831,0.06822588362693166,0.08377230159325139,0.10298011373723803,0.1284802745631855,0.1692360201076989,0.29921178182111796,0.48198248397925986,10.8079395294189,38990109,13567.948415980865,8862.27025201094,FALSE,micro,survey
Latin America & Caribbean,LAC,Argentina,ARG,2016,urban,EPHC-S2,urban,2016,income,2,2003 - 2020,2.15,0.0066754935526147086,0.0027078294518148166,0.0018934471379268118,0.002075820719023306,28.144450596427482,21.243942841267746,0.31684532723803743,0.4203252890095214,0.3965168380269314,0.01763788348832351,0.0315548409830141,0.042867023941229127,0.05483289482890101,0.06814426766648912,0.08364492198060944,0.10165673712240297,0.12744559354042595,0.16802258722988372,0.30419324921869195,0.8544163764548623,10.8079395294189,39940546,13360.211834598183,8922.063602691838,FALSE,micro,survey
Latin America & Caribbean,LAC,Argentina,ARG,2017,urban,EPHC-S2,urban,2017,income,2,2003 - 2020,2.15,0.004240273951590302,0.002055341478864392,0.0015942770793386004,0.0010219640441094585,29.55788365348206,22.573417085390044,0.30350056490470784,0.4113448843872838,0.38816181271454375,0.017860054716687536,0.03282928886877501,0.04418250832199929,0.05601460660864929,0.06934219306885064,0.0847106911264617,0.10305623468826897,0.1275605596654849,0.16739966648491578,0.297044196449902,1.0510225442958705,10.8079395294189,40410674,13595.037355108117,9197.198955627864,FALSE,micro,survey
Latin America & Caribbean,LAC,Argentina,ARG,2018,urban,EPHC-S2,urban,2018,income,2,2003 - 2020,2.15,0.007674704879175225,0.0030022407870799466,0.001881667625400476,0.0027825126158545085,26.796218897069288,20.573062589914485,0.3085873002624958,0.41342498374732906,0.3887937517293468,0.01758162531109316,0.032165461781287305,0.04393550764243511,0.05588051850552708,0.0691030703788234,0.0851145432292435,0.10302594122571845,0.1278731161572656,0.16701812795110194,0.29830208781751155,1.4877393527550482,10.8079395294189,40877099,13105.397163316997,8901.54674770311,FALSE,micro,survey
